workflow,cell_type,rank_in_panel,protein_name,gene_name,protein_ids,protein_id,median_intensity_cell_log10,cv_percent_cell,n_precursors,median_intensity_plasma_log10,ratio_cell_over_plasma
Non-magnetic,platelet,10,Talin-1,TLN1,Q9Y490,Q9Y490,7.99,6.6,214.0,4.22,5771.56
Non-magnetic,platelet,11,Profilin-1,PFN1,P07737,P07737,7.98,6.57,20.0,4.59,2418.11
Non-magnetic,platelet,12,Ras-related protein Rab-8A,RAB8A,P61006,P61006,7.96,4.85,14.0,4.31,4509.23
Non-magnetic,platelet,13,Histone H1.4,H1-4,P10412,P10412,7.92,8.6,7.0,4.37,3501.86
Non-magnetic,platelet,14,Myosin-9,MYH9,P35579,P35579,7.91,11.08,206.0,4.02,7817.18
Non-magnetic,platelet,15,NADH-cytochrome b5 reductase 3,CYB5R3,P00387;P00387-2;P00387-3,P00387,7.89,11.08,28.0,3.72,14708.95
Non-magnetic,platelet,16,Isoform B of Reticulon-4,RTN4,Q9NQC3-2,Q9NQC3-2,7.87,3.7,18.0,3.82,11397.72
Non-magnetic,platelet,17,Fermitin family homolog 3,FERMT3,Q86UX7;Q86UX7-2,Q86UX7,7.87,5.07,57.0,4.25,4124.63
Non-magnetic,platelet,18,Voltage-dependent anion-selective channel protein 3,VDAC3,Q9Y277,Q9Y277,7.83,8.23,24.0,3.68,14299.14
Non-magnetic,platelet,19,PRA1 family protein 3,ARL6IP5,O75915,O75915,7.83,9.7,7.0,3.6,17111.47
